Gene,N0416,N0417,N0429,N0510,N151127,N160118,N160331
SALL1,0.584552,0.659338,0.35815,0.63763,3.013186,4.477899,5.138755
TOX3,0.782988,0.472177,0.18822,0.61379,0.740477,1.489162,1.059194
RBL2,14.59833,5.701299,3.070735,9.029304,8.704715,8.197457,8.837121
QPRT,0.798042,0.602655,0.673215,0.350503,2.597167,2.521554,3.170688
XYLT1,0.077259,0.198105,0.301537,0.302837,0.342317,0.251475,0.42039
PYCARD,0.657822,0.46354,0.620672,0.344105,4.208385,2.636891,3.993076
RPGRIP1L,6.222558,2.244056,1.44779,5.048868,3.640996,5.302576,6.253316
MAZ,5.452648,4.251267,1.435913,4.411458,11.154016,10.787748,11.904766
STX4,2.715011,4.116816,2.144357,2.038568,6.680585,6.231329,5.120626
CDIPT,5.614262,3.580121,1.44261,6.094136,14.283758,13.895388,16.03982
BCKDK,1.25488,1.409888,0.924951,1.472489,4.528877,4.762092,5.453407
KAT8,4.158959,2.526976,1.532425,4.293635,12.864713,12.714695,15.066495
NOMO1,4.345099,2.746037,1.366941,6.159279,7.893157,9.340589,11.580121
IL21R,0.038391,0.098802,0.206575,0.064326,0.158384,0.11491,0.099115
SYT17,3.066187,0.709931,0.3989,4.871566,0.907649,1.586263,7.439477
TMC5,0.046926,0.037592,0.177056,0.028618,0.027213,0.028276,0.014817
CCP110,14.451905,9.370718,2.918193,8.998605,10.489679,14.061813,12.216427
VPS35L,8.676318,3.705344,2.524152,7.571693,11.807908,13.759646,12.844753
RNF40,2.874412,3.10365,1.544755,2.853139,5.638508,6.337422,7.600048
KNOP1,0.765937,0.706808,0.571465,1.452391,1.698767,1.591833,1.317234
AQP9,0.044771,0.153623,0.166522,0.053104,0.149366,0.037046,0.103564
AAGAB,14.198832,3.793188,1.704916,9.721968,9.510036,11.253593,11.884121
IQCH,1.084161,1.326946,0.893173,1.289693,1.248875,1.734447,0.691408
LACTB,3.475973,1.120007,0.960042,2.396461,4.019488,3.362911,6.192793
CORO2B,0.035115,0.35274,0.706961,0.041154,1.127508,0.150249,0.661442
CSK,1.384542,1.777809,1.090354,1.706566,6.545654,7.223064,7.692537
HERC1,11.753377,8.17271,3.653358,13.461332,10.237682,9.87973,9.839048
TRIP4,2.793222,1.800848,1.149263,3.604407,4.938402,5.899381,5.17706
MTFMT,2.031116,0.663067,0.53964,1.635642,2.198661,2.555945,2.590539
RASL12,0.106746,0.401806,1.071474,0.238086,0.998558,0.490937,2.481407
AP3B2,6.071866,6.773159,1.781101,8.136185,7.461494,13.289662,11.909584
ACSBG1,0.186851,0.252342,0.42171,0.262092,0.22983,0.24468,0.187173
IGDCC4,0.247102,0.407524,0.444733,0.359381,0.62855,0.740887,1.818084
RAB11A,15.923228,7.146643,4.01741,11.731761,21.894838,20.770306,25.961864
CTSH,2.694171,2.859936,2.19935,3.818861,10.85973,8.477216,7.587383
TTC23,0.670266,0.55352,2.223516,0.897233,0.683197,2.489779,1.35272
CD276,1.125011,1.520068,0.735923,1.654908,5.064588,4.704292,7.687243
FAH,2.10756,1.712085,1.014661,3.297624,4.431969,4.422508,4.034775
CEMIP,0.475058,1.462266,2.848061,0.980965,10.224853,0.511629,2.247052
RPAP1,0.929515,0.990836,1.144052,1.314976,1.859172,2.433566,2.473781
HOMER2,1.962443,1.691707,1.376828,2.176191,3.772529,3.619559,3.274035
EHD4,1.059534,1.568806,1.061073,1.081759,3.798324,2.948192,4.374504
TMEM87A,6.492527,2.596116,1.070914,7.011463,4.868128,7.883048,12.521727
ZNF106,10.888498,5.125055,3.047765,10.24868,14.616108,15.411979,15.250136
CEP152,0.231669,0.229425,0.294341,0.280278,0.243967,0.254468,0.17589
ATP8B4,1.005815,0.749908,0.249334,0.908555,0.737503,0.499171,0.511697
DTWD1,1.757502,0.544793,0.5123,1.329926,1.820349,0.971392,1.442069
FAM189A1,0.006215,0.028643,0.050585,0.035805,0.027167,0.015699,0.071568
GABPB1,2.141774,0.851094,0.389305,0.918615,1.33174,2.537604,1.595731
TJP1,4.70718,3.356647,2.671409,4.65207,10.311285,6.08449,9.834302
BMF,0.274074,0.156844,0.305933,0.242047,2.359253,0.331509,1.539814
DMXL2,9.193257,6.663144,2.587487,10.426332,6.702523,8.785147,8.047209
SCG3,20.579842,7.891619,1.806031,15.98051,29.183167,38.169674,47.63789
DNAJC17,0.792575,0.656507,0.546073,1.123609,1.291462,1.137366,1.402715
EIF3J,9.755679,5.215608,2.189585,8.387613,12.41605,13.815417,14.872921
SPG11,9.502504,8.103842,4.059739,10.848228,8.778538,10.322338,10.420311
RHOV,0.124989,0.165302,0.2023,0.240639,0.633244,0.792051,0.631298
VPS18,2.593494,1.362419,0.699178,2.570541,5.604595,6.252312,6.193935
OIP5,0.101408,0.122475,0.090226,0.11421,0.095826,0.097429,0.064563
SLC30A4,0.55189,0.340448,0.294465,0.691712,1.864195,2.327979,1.798658
BLOC1S6,12.243021,5.663356,1.790605,8.059724,19.982857,16.594524,20.552296
MYEF2,9.696443,10.908278,2.384162,12.865578,10.720545,9.596073,8.01221
SGK3,3.874066,1.790186,1.055853,3.194946,5.540522,5.107132,6.20119
PDGFRL,1.404308,0.60101,0.441648,1.357154,2.184026,2.389308,3.237177
CSPP1,4.290153,1.841758,1.609613,2.915287,1.789355,2.079343,2.079724
ZDHHC2,6.678975,2.716181,0.819354,5.551701,8.746347,7.562338,6.39509
BRF2,2.624683,0.51132,0.473874,2.577808,2.935151,3.131094,3.57366
TRIM35,2.448613,0.828548,0.803732,1.822993,2.698286,2.980998,3.372991
ZFAND1,23.044098,5.79813,1.270153,13.891097,13.269758,12.848676,17.100433
RP1,0.024052,0.024469,0.144382,0.026506,0.003032,0.00035,0.001789
CA2,0.325372,1.874648,1.523795,0.408812,0.852585,0.635965,2.151867
FZD3,3.641856,3.140037,1.976071,3.714156,7.006346,6.442663,8.473072
INTS9,3.396745,1.799885,1.860988,3.618481,3.857891,5.332283,4.526517
